total_v2_agcho10,ashrafTO_agcho10,abdullahTO_agcho10,df_5to11,plus_wind_00Z_10,population_2010_adj,first,DISTID,_CX,_CY,windspeed_06Z,windspeed_12Z,windspeed_06Z2,windspeed_12Z2,temp_00Z,temp_06Z,temp_12Z,rain_00Z,rain_06Z,rain_12Z,temp_00Z2,temp_06Z2,temp_12Z2,rain_00Z2,rain_06Z2,rain_12Z2,plus_wind_00Z_10_pre14D
.14967443,.064348325,.085326113,0,1.5731592,3875003.8,0,101,69.14701350615034,34.5168948993975,3.359315395355225,5.032623767852783,11.285,25.327303,280.692993164062,305.587005615234,303.655029296875,0,0,0,78788.555,93383.422,92206.375,0,0,0,1.6629964
.14661276,.041758928,.082124822,0,2.2134962,3875003.8,1,101,69.14701350615034,34.5168948993975,1.199708342552185,1.681933403015137,1.4393001,2.8288999,276.8510132,282.0890198,284.2790222,2.60000002384186,6.85000014305115,.500000014901161,76646.484,79574.219,80814.563,6.7600002,46.922501,.25,1.8819573
.50090325,.42982605,.071077213,2,2.0220547,74046.234,0,112,69.69541358113253,34.53117140995686,1.597609281539917,2.421599626541138,2.5523555,5.8641448,286.25966389974,308.216339111328,306.034342447917,0,0,0,81944.594,94997.313,93657.016,0,0,0,3.0276258
.2772457,.19356824,.016597738,1,1.8931085,74046.234,1,112,69.69541358113253,34.53117140995686,2.126355886459351,2.505524873733521,4.5213895,6.2776551,279.2643534,279.8956909,283.2043457,4.64999997615814,10.3000000715256,1.35000002384186,77988.578,78341.602,80204.703,21.622499,106.09,1.8225001,2.2857659
.16839039,.15266198,.015728422,0,1.5757506,31153.795,0,114,69.21838679772677,34.36908318950844,3.53796648979187,4.867505550384521,12.517207,23.69261,280.882995605469,304.998497009277,303.310523986816,0,0,0,78895.258,93024.086,91997.273,0,0,0,1.7278769
.095911272,.063876651,.0046543288,0,2.1969347,31153.795,1,114,69.21838679772677,34.36908318950844,.8989055752754211,.5369182825088501,.80803126,.28828123,277.1025162,280.403511,283.681015,2.60000002384186,6.85000014305115,.500000014901161,76785.805,78626.133,80474.922,6.7600002,46.922501,.25,1.7564557
.16631421,.015365702,.15094851,1,3.7347465,171681.06,0,204,69.63336654633592,35.04224286817415,2.959746599197388,4.035235404968262,8.7601004,16.283125,283.570007324219,303.820999145508,300.575012207031,0,0,0,80411.945,92307.203,90345.336,0,0,0,3.8270473
.10702404,.0029065523,.090819567,1,1.0337828,171681.06,1,204,69.63336654633592,35.04224286817415,1.905131220817566,3.020782232284546,3.6295249,9.1251249,273.8250122,275.5160217,278.1990204,.5,1.79999995231628,0,74980.141,75909.078,77394.695,.25,3.2399998,0,1.6614336
.13781412,.11286067,.024953444,5,2.9263434,29815.523,0,205,69.67922972658606,34.7971691899919,3.119695663452148,3.56237268447876,9.732501,12.690499,286.046997070312,306.486999511719,304.631011962891,0,0,0,81822.883,93934.281,92800.055,0,0,0,3.2892487
.037396628,.021834264,.0048632384,3,2.0138679,29815.523,1,205,69.67922972658606,34.7971691899919,1.357939600944519,1.198665976524353,1.844,1.4368001,277.8190308,278.8910217,284.1950073,2.60000002384186,7.15000015497208,.800000011920929,77183.414,77780.203,80766.805,6.7600002,51.122501,.64000005,2.3364098
.19420929,.011471972,.18273732,0,2.702189,68776.32,0,207,69.33996846538888,35.07246187520274,3.501428127288818,5.158342838287354,12.259999,26.608501,285.627014160156,307.359008789062,304.005004882812,0,0,0,81582.789,94469.563,92419.047,0,0,0,3.6825747
.1704511,.0034750332,.13459574,0,.98201013,68776.32,1,207,69.33996846538888,35.07246187520274,3.440726518630981,3.641167402267456,11.838599,13.258101,276.4550171,281.9610291,284.3950195,.5,1.79999995231628,0,76427.375,79502.023,80880.523,.25,3.2399998,0,1.342497
.049219925,.037356462,.011863461,1,2.2183547,52092.727,0,304,68.9709610237274,35.11935651408041,5.549352169036865,6.640108585357666,30.795309,44.091042,280.866333007812,300.780334472656,296.975677490234,0,0,0,78885.898,90468.813,88194.555,0,0,0,3.5487785
.055938713,.016585808,.014147849,0,2.6095595,52092.727,1,304,68.9709610237274,35.11935651408041,3.865782976150513,3.005964517593384,14.944278,9.0358229,273.061025,276.6276754,276.2923482,1.60000002384186,4.30000019073486,1.89999997615814,74562.32,76522.867,76337.461,2.5600002,18.490002,3.6099999,2.3647246
.051243912,.0096617406,.041582175,1,2.8407538,122648.71,0,305,68.78768599744458,35.01038861705496,4.756051540374756,6.325553417205811,22.620026,40.012627,280.477005004883,300.365997314453,296.725006103516,0,0,0,78667.352,90219.734,88045.727,0,0,0,3.4931703
.046376355,.00051366212,.021696111,0,1.8308046,122648.71,1,305,68.78768599744458,35.01038861705496,2.93231987953186,2.275065898895264,8.5985003,5.1759248,271.9620209,273.9290009,274.5390015,1.94999998807907,3.55000007152557,1.84999996423721,73963.344,75037.094,75371.664,3.8025,12.602501,3.4224999,1.9024668
.17638627,.027949994,.14843626,1,3.0813789,31198.574,0,306,68.41761291068039,34.94698092912557,5.447938442230225,6.556848049163818,29.680033,42.992256,277.523002624512,297.089500427246,293.407012939453,0,0,0,77019.016,88262.172,86087.672,0,0,0,3.2778113
.22510645,.013045468,.13433306,0,2.5550761,31198.574,1,306,68.41761291068039,34.94698092912557,2.25621509552002,1.981476664543152,5.0905066,3.9262497,270.1050186,273.9305115,274.2870102,2.29999995231628,2.79999995231628,1.79999995231628,72956.719,75037.922,75233.367,5.29,7.8399997,3.2399998,2.8238497
